Comment,Designator,Footprint,LCSC,Quantity
"KP ""7""",SW58,SW_Cherry_MX_1.00u_PCB_with_LED,,1
INS/DEL,SW65,SW_Cherry_MX_1.00u_PCB_with_LED,,1
LEFT/RIGHT,SW73,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""8""",SW50,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""0""",SW10,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""6""",SW41,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""*""",SW33,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""3""",SW25,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""+""",SW17,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""1""",SW26,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""9""",SW57,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""4""",SW42,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""5""",SW34,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""-""",SW9,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""2""",SW18,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""/""",SW49,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP ""=""",SW1,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"KP "".""",SW2,SW_Cherry_MX_1.00u_PCB_with_LED,,1
LINK3,J4,PinHeader_2x02_P2.54mm_Vertical,,1
Extended_PET_keyboard_connector,J1,PET_Extended_Keyboard_Connector,,1
B ARROW,SW75,SW_Cherry_MX_1.00u_PCB_with_LED,,1
"""[""",SW7,SW_Cherry_MX_1.00u_PCB_with_LED,,1
