Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW24,"""X""",SW_Cherry_MX_1.00u_PCB_with_LED,94.488,-116.7765,0.0,top
SW25,"KP ""3""",SW_Cherry_MX_1.00u_PCB_with_LED,362.331,-116.7892,0.0,top
SW26,"KP ""1""",SW_Cherry_MX_1.00u_PCB_with_LED,324.231,-116.7892,0.0,top
SW27,RETURN,SW_Cherry_MX_1.50u_PCB_with_LED,280.416,-97.7265,0.0,top
SW28,""";""",SW_Cherry_MX_1.00u_PCB_with_LED,227.838,-116.7765,0.0,top
SW29,"""M""",SW_Cherry_MX_1.00u_PCB_with_LED,189.738,-116.7765,0.0,top
SW3,NC ($10),SW_Cherry_MX_1.25u_PCB_with_LED,234.95,-135.8265,0.0,top
SW30,"""B""",SW_Cherry_MX_1.00u_PCB_with_LED,151.638,-116.7765,0.0,top
SW31,"""C""",SW_Cherry_MX_1.00u_PCB_with_LED,113.538,-116.7765,0.0,top
SW32,"""Z""",SW_Cherry_MX_1.00u_PCB_with_LED,75.438,-116.7765,0.0,top
SW320,S LOCK,SW_Cherry_MX_1.50u_PCB_with_LED,42.164,-97.663,0.0,top
SW33,"KP ""*""",SW_Cherry_MX_1.00u_PCB_with_LED,381.381,-97.7392,0.0,top
SW34,"KP ""5""",SW_Cherry_MX_1.00u_PCB_with_LED,343.281,-97.7392,0.0,top
SW36,""":""",SW_Cherry_MX_1.00u_PCB_with_LED,237.49,-97.7265,0.0,top
SW37,"""K""",SW_Cherry_MX_1.00u_PCB_with_LED,199.39,-97.7265,0.0,top
SW38,"""H""",SW_Cherry_MX_1.00u_PCB_with_LED,161.29,-97.7265,0.0,top
SW39,"""F""",SW_Cherry_MX_1.00u_PCB_with_LED,123.19,-97.7265,0.0,top
SW4,STOP,SW_Cherry_MX_1.00u_PCB_with_LED,256.54,-97.7265,0.0,top
SW40,"""S""",SW_Cherry_MX_1.00u_PCB_with_LED,85.09,-97.7265,0.0,top
SW41,"KP ""6""",SW_Cherry_MX_1.00u_PCB_with_LED,362.331,-97.7392,0.0,top
SW42,"KP ""4""",SW_Cherry_MX_1.00u_PCB_with_LED,324.231,-97.7392,0.0,top
SW44,"""L""",SW_Cherry_MX_1.00u_PCB_with_LED,218.44,-97.7265,0.0,top
SW45,"""J""",SW_Cherry_MX_1.00u_PCB_with_LED,180.34,-97.7265,0.0,top
SW46,"""G""",SW_Cherry_MX_1.00u_PCB_with_LED,142.24,-97.7265,0.0,top
SW47,"""D""",SW_Cherry_MX_1.00u_PCB_with_LED,104.14,-97.7265,0.0,top
SW48,"""A""",SW_Cherry_MX_1.00u_PCB_with_LED,66.04,-97.7265,0.0,top
SW49,"KP ""/""",SW_Cherry_MX_1.00u_PCB_with_LED,381.381,-78.6892,0.0,top
SW5,"""<""",SW_Cherry_MX_1.00u_PCB_with_LED,270.637,-78.6765,0.0,top
SW50,"KP ""8""",SW_Cherry_MX_1.00u_PCB_with_LED,343.281,-78.6892,0.0,top
SW52,"""P""",SW_Cherry_MX_1.00u_PCB_with_LED,232.537,-78.6765,0.0,top
SW53,"""I""",SW_Cherry_MX_1.00u_PCB_with_LED,194.437,-78.6765,0.0,top
SW54,"""Y""",SW_Cherry_MX_1.00u_PCB_with_LED,156.337,-78.6765,0.0,top
SW55,"""R""",SW_Cherry_MX_1.00u_PCB_with_LED,118.237,-78.6765,0.0,top
SW56,"""W""",SW_Cherry_MX_1.00u_PCB_with_LED,80.137,-78.6765,0.0,top
SW57,"KP ""9""",SW_Cherry_MX_1.00u_PCB_with_LED,362.331,-78.6892,0.0,top
SW58,"KP ""7""",SW_Cherry_MX_1.00u_PCB_with_LED,324.231,-78.6892,0.0,top
SW59,U ARROW,SW_Cherry_MX_1.00u_PCB_with_LED,251.587,-78.6765,0.0,top
